Name,Symbol,Price,Market Cap,24h Change (%),7d Change (%),Volume 24h,Circulating Supply
Bitcoin,BTC,86420.87439673238,1725272805157.0994,-0.43231796,-4.4166584,44126370071.475555,19963612.0
Ethereum,ETH,2826.850182294448,341186850706.29535,-3.7977432,-11.87674112,25891962265.95309,120695059.41392578
Tether USDt,USDT,0.9995618616003304,186238258037.54877,-0.02269032,-0.07441233,93246787183.20598,186319891936.82858
BNB,BNB,833.3838554962074,114786395203.13022,-3.72224232,-4.42068693,2942453254.853405,137735323.82
XRP,XRP,1.8315969321344951,110794362324.378,-4.82170952,-9.00138032,3534990891.841729,60490580859.0
USDC,USDC,0.9998802952608433,78004382508.89748,0.00712819,-0.00746395,12951439279.585295,78013721121.03491
Solana,SOL,122.71768857871906,68973131343.24864,-4.0306682,-6.46342349,5421383550.913518,562047184.4122522
TRON,TRX,0.27718804054284907,26245281074.07668,-1.03430477,-0.77707846,591515048.4696183,94684031182.14459
Dogecoin,DOGE,0.12488054983315584,19010455754.61258,-4.772085,-9.99025067,1471327455.290833,152229116383.7052
Cardano,ADA,0.3616683690269577,12991533556.047855,-5.08356154,-16.23324129,697395398.7376422,35921121858.12828
Bitcoin Cash,BCH,532.8307477190868,10639740870.639908,-2.42592399,-5.25029427,363373259.38367754,19968331.25
Chainlink,LINK,12.12895894705232,8452064683.874046,-5.03429981,-11.05633596,639656105.3287024,696849970.4525867
Hyperliquid,HYPE,24.37371823854492,8206270662.9887905,-9.83602065,-13.66614202,485257587.0497658,336685219.0
Monero,XMR,429.5004271096692,7922884458.44101,0.4017662,6.7371,173071174.69397768,18446744.07370955
Stellar,XLM,0.2080903941354786,6733048481.928923,-4.84988322,-14.16800873,170655015.1855523,32356363732.70228
Zcash,ZEC,391.6506764248097,6439830576.035513,-0.18032391,-6.51730194,819531526.9298894,16442791.9155448
Ethena USDe,USDe,0.9989468982844463,6431647044.053194,-0.02950805,-0.04036517,128274163.08386078,6438427362.954589
UNUS SED LEO,LEO,6.794682286968784,6263776028.337706,-24.72614166,-28.15961733,7776063.27831459,921864446.9
Litecoin,LTC,75.11806513293492,5756947251.394732,-4.93657954,-7.72684317,444806174.8108515,76638651.98347135
Dai,DAI,0.9997055904028853,5363803082.505014,-0.02821544,-0.01504852,98477592.89948912,5365382702.664872
Sui,SUI,1.3973218851482903,5221605147.61224,-6.07006478,-10.47250041,834378927.8074975,3736866360.6511097
Avalanche,AVAX,11.734334263182076,5039851885.10625,-4.03094005,-12.83684181,401316991.56542027,429496192.2909771
Hedera,HBAR,0.10838827539833705,4603944461.668283,-4.35002906,-17.20266767,125271740.96817718,42476406647.75186
Shiba Inu,SHIB,7.43607637361209e-06,4381665688.517428,-5.00210414,-10.81984608,125036289.0310008,589244309548292.8
Mantle,MNT,1.1914418252029177,3875693602.930939,-7.74457332,4.5505443,161092990.51224676,3252944055.636841
PayPal USD,PYUSD,0.9996182026498227,3872715820.345423,-0.00544073,0.01165606,96504308.84280479,3874194977.7219877
Toncoin,TON,1.4685103576533634,3599530742.8234572,-4.50410366,-8.95651265,126000241.05710983,2451144266.0679646
Cronos,CRO,0.09021735522756757,3477217035.401652,-4.66799199,-11.02091412,20845752.69039985,38542662070.18142
World Liberty Financial,WLFI,0.12370213253856062,3307107450.7652264,-8.75088645,-16.23855185,118104779.98095037,26734441702.0
Uniswap,UNI,4.901633581580053,3089649282.117922,-3.8808818,-8.62053275,221217364.18635908,630330527.7099
Polkadot,DOT,1.782395622575374,2934568574.008147,-5.15501872,-14.39590046,205149992.45683953,1646418189.5644493
Canton,CC,0.07501667216379133,2721065254.890776,5.00123389,1.21967715,23564562.13707221,36272806782.86561
World Liberty Financial USD,USD1,0.9990525900326381,2713585710.297853,-0.03053794,-0.00129336,468500620.5636094,2716159026.432435
Aave,AAVE,176.59951476826274,2702801609.517494,-4.76991708,-7.51869653,376278651.86069053,15304694.4271855
Bitget Token,BGB,3.449543063699317,2405472494.7245283,-1.23471837,-3.92282291,64368003.06848899,697330762.4531815
Bittensor,TAO,228.40703532527914,2400401005.2217627,-9.58181794,-20.20519961,167532659.26150677,10509312.91062599
OKB,OKB,105.38639382190192,2213114270.25994,-3.00290371,-8.13095978,35648819.72069603,21000000.0
MemeCore,M,1.67504276014756,2088393222.5456614,-0.98750384,16.23977317,15238291.31132528,1246770095.8044128
NEAR Protocol,NEAR,1.4646443442244887,1878828370.654942,-5.92526319,-13.21300254,192786256.2396195,1282788124.0
Ethereum Classic,ETC,11.973526122455329,1853055603.141679,-4.15490957,-8.85341637,89242057.91933961,154762731.06102228
Pi,PI,0.2036250840663844,1703092069.6113966,0.78062395,-2.35156878,20458374.06286557,8363861836.669232
Aster,ASTER,0.6788266250965815,1693997710.411619,-11.79069519,-26.81635478,447641801.7026374,2495479180.962594
Tether Gold,XAUt,4335.781395344224,1637787839.2040625,0.09141386,2.87660581,115427644.73122722,377737.6417
Pepe,PEPE,3.865251283024012e-06,1626072174.3910983,-5.29341781,-13.63535829,355111482.4509216,420689899653542.56
Internet Computer,ICP,2.8636071740965217,1556994439.637972,-6.2903869,-14.12744376,85862598.29610547,543717886.210845
Ethena,ENA,0.20092337805237684,1545226354.3340607,-6.35403965,-19.82635051,231707090.29719728,7690625000.0
PAX Gold,PAXG,4343.462965696944,1508604189.6831238,-0.00687405,2.8859302,181711964.44289637,347327.513
Global Dollar,USDG,0.999753122130383,1452395509.500334,-0.01570619,-0.01039918,38898567.43010586,1452754162.353013
KuCoin Token,KCS,10.342316969340706,1341142659.9514537,-1.47225938,-1.80578475,6906241.30240097,129675261.73556715
Sky,SKY,0.058291600941692834,1336747010.777842,-3.94778684,6.68687496,19522339.17987072,22932068929.020256
Worldcoin,WLD,0.4935161054179359,1218117252.8341436,-4.80622607,-16.6801799,116953255.32676828,2468242149.468611
Ondo,ONDO,0.3827182381644318,1209048067.6708717,-7.25799247,-18.79436011,69898749.06547144,3159107529.0
Kaspa,KAS,0.041480701139388024,1121095082.3995419,-5.63138321,-13.98179907,27647187.80394895,27026907733.124245
Polygon (prev. MATIC),POL,0.10585602378885756,1117460217.2571187,-5.69440612,-11.9682893,98374600.13814369,10556415943.659721
